NO	FILE	COMPARISON	ADJ_LEMMA	CORPUS	YEAR	VARIETY	NEWSPAPER	WORD_COUNT	FORM	ADJ_LEN	READABILITY	LEXDIV	STRESS_LAST_SYLL	PERSIST_COMP	PERSIST_FORM	PERSIST_DIST	SYNT_FUN	ADVMOD	COMPL	ZIPF_FREQ	DPNOFREQ	RHY_SCORE_POS	RHY_SCORE_ALT_POS	SEG_SCORE	SEG_SCORE_ALT	FINAL_SEGMENT
170292	4704898	analytic	vital	SAVE2020	2020	LK	Daily Mirror	1702	superlative	5	-116,9448209	30,25116264	n	synthetic	superlative	1880	a	n	n	4,94	0,072437756	0	0	0,214285714	0,166666667	0,75
150916	4704243	synthetic	good	SAVE2020	2020	LK	Daily Mirror	1251	comparative	4	-152,5205294	18,20800344	y	analytic	comparative	859	a	n	n	6,377398081	0,189114879	0	0	0,214285714	0,266666667	0,25
157798	4724310	synthetic	large	SAVE2020	2020	LK	Daily News	430	superlative	5	-266,0603635	61,19261678	y	none	none	none	a	n	n	5,737067526	0,156390238	0	0	0,214285714	0,266666667	0,583333333
217959	41706052	synthetic	loose	NOW2020	2020	BrE	Independent	992	comparative	5	1161,199439	-2,50792796	y	none	none	none	a	n	n	4,31346919	0,00815545	0	0	0,214285714	0,266666667	0,25
218011	41710382	synthetic	dark	NOW2020	2020	BrE	Independent	4063	superlative	4	262,1461278	35,28300046	y	synthetic	superlative	1944	a	n	n	5,011279528	0,01737105	0	0,5	0,214285714	0,266666667	0,583333333
218018	41710382	synthetic	dark	NOW2020	2020	BrE	Independent	4063	superlative	4	262,1461278	35,28300046	y	synthetic	superlative	1954	a	n	n	5,011279528	0,01737105	0	0,5	0,214285714	0,266666667	0,583333333
150723	4703666	synthetic	healthy	SAVE2020	2020	LK	Daily Mirror	445	comparative	7	-166,2203216	-12,91804249	n	synthetic	superlative	49	a	n	n	5,03784583	0,086805282	0,25	0	0,214285714	0,2	0
150883	4704150	synthetic	large	SAVE2020	2020	LK	Daily Mirror	1096	superlative	5	-156,5271334	0,877490109	y	synthetic	comparative	102	a	y	n	5,737067526	0,156390238	0,25	0,25	0,214285714	0,266666667	0,583333333
217181	41643560	synthetic	good	NOW2020	2020	BrE	Daily Mail	953	superlative	4	773,2913155	27,69819827	y	synthetic	superlative	207	a	n	n	6,239948832	0,031269529	0,25	0,4	0,214285714	0,235294118	0,5
217182	41643560	synthetic	good	NOW2020	2020	BrE	Daily Mail	953	superlative	4	773,2913155	27,69819827	y	synthetic	superlative	675	a	n	n	6,239948832	0,031269529	0,25	0,4	0,214285714	0,235294118	0,5
170212	4704150	analytic	substantial	SAVE2020	2020	LK	Daily Mirror	1096	comparative	11	-156,5271334	0,877490109	n	synthetic	superlative	179	p	n	n	4,529410512	0,034656188	0	0	0,21875	0,174278846	0,875
157654	4723646	synthetic	late	SAVE2020	2020	LK	Daily News	392	superlative	4	18,29938153	-70,26631134	y	none	none	none	a	n	n	5,749469696	0,10417751	0	0,166666667	0,21875	0,253968254	0,5
217971	41706491	synthetic	low	NOW2020	2020	BrE	Independent	997	superlative	3	1493,01006	2,588751249	y	none	none	none	a	n	n	5,368592578	0,020965242	0	0,333333333	0,221212121	0,202020202	0
219979	41855372	synthetic	mean	NOW2020	2020	BrE	Daily Mail	1233	superlative	4	1387,899455	39,31100455	y	analytic	superlative	239	a	n	n	5,630557051	0,017496654	0	0,333333333	0,221212121	0,287878788	0,25
151776	4706143	synthetic	late	SAVE2020	2020	LK	Daily Mirror	291	superlative	4	-234,6220902	0,012674324	y	none	none	none	n	n	i	5,749469696	0,10417751	0	0	0,222222222	0,272727273	0,5
158311	4726702	synthetic	quick	SAVE2020	2020	LK	Daily News	471	comparative	5	-134,2983485	-15,77914835	y	none	none	none	a	n	n	4,811780596	0,055483825	0	0	0,222222222	0,2	0
150881	4704150	synthetic	bad	SAVE2020	2020	LK	Daily Mirror	1096	superlative	3	-156,5271334	0,877490109	y	synthetic	superlative	11	a	n	n	5,316930574	0,087465988	0	0,2	0,222222222	0,238095238	0,625
150870	4704091	synthetic	high	SAVE2020	2020	LK	Daily Mirror	1088	comparative	4	-221,2344296	17,50568542	y	synthetic	comparative	37	a	n	n	6,014574487	0,216514398	0	0,225	0,222222222	0,105263158	0
150884	4704150	synthetic	large	SAVE2020	2020	LK	Daily Mirror	1096	superlative	5	-156,5271334	0,877490109	y	synthetic	superlative	204	a	y	n	5,737067526	0,156390238	0	0,25	0,222222222	0,263157895	0,583333333
219229	41787840	synthetic	gritty	NOW2020	2020	BrE	Independent	5629	comparative	6	12,89563733	47,05286862	n	synthetic	comparative	3180	p	y	n	3,65589187	0,002480253	0	0,333333333	0,222222222	0,286363636	0
150802	4703882	synthetic	high	SAVE2020	2020	LK	Daily Mirror	506	comparative	4	-245,2450956	5,145375157	y	synthetic	superlative	521	a	n	n	6,014574487	0,216514398	0	0,333333333	0,222222222	0	0
